text,label
Investors cheer as Titan Company secures major contract worth INR 2092 crore.,positive
Investors cheer as Asian Paints secures major contract worth INR 2337 crore.,positive
Dr. Reddy's introduces a new product line in the domestic market.,neutral
TCS stock plunges 11% amid concerns over debt levels.,negative
Regulatory action against Tech Mahindra triggers sell-off.,negative
Tech Mahindra beats market expectations with 9% profit growth.,positive
Shares of Power Grid surge after strong Q3 results.,positive
Asian Paints announces 8% increase in dividend payout.,positive
Titan Company posts losses of INR 558 crore this quarter.,negative
TCS faces legal challenges impacting market confidence.,negative
Dr. Reddy's announces leadership changes in key divisions.,neutral
Investors cheer as Maruti Suzuki secures major contract worth INR 4947 crore.,positive
Shares of Kotak Mahindra Bank trade flat amid mixed market sentiment.,neutral
Analysts downgrade Bharti Airtel citing poor performance.,negative
Regulatory action against HCL Technologies triggers sell-off.,negative
Hindustan Unilever completes successful acquisition of Financial Corp.,positive
Tech Mahindra beats market expectations with 35% profit growth.,positive
Shares of TCS trade flat amid mixed market sentiment.,neutral
Kotak Mahindra Bank stock hits 52-week high on strong demand.,positive
Shares of Power Grid fall after weak Q2 results.,negative
Market participants await Tech Mahindra quarterly results.,neutral
Bharti Airtel reports a 17% rise in quarterly revenue.,positive
Market participants await TCS quarterly results.,neutral
Power Grid announces 9% increase in dividend payout.,positive
Investors exit Sun Pharma after disappointing Q3 guidance.,negative
Wipro announces leadership changes in key divisions.,neutral
Shares of Dr. Reddy's surge after strong Q4 results.,positive
Kotak Mahindra Bank misses earnings estimates with 14% drop in profit.,negative
Sun Pharma schedules board meeting for Q3.,neutral
ICICI Bank announces organizational restructuring.,neutral
Shares of Dr. Reddy's surge after strong Q1 results.,positive
Shares of HCL Technologies trade flat amid mixed market sentiment.,neutral
HDFC Bank faces legal challenges impacting market confidence.,negative
HCL Technologies schedules board meeting for Q4.,neutral
Bharti Airtel schedules board meeting for Q3.,neutral
Shares of Axis Bank surge after strong Q3 results.,positive
Analysts upgrade Cipla on improved growth outlook.,positive
TCS stock plunges 3% amid concerns over debt levels.,negative
Cipla reports a 5% rise in quarterly revenue.,positive
Titan Company reports robust performance with revenue of INR 269 crore in Q3.,positive
JSW Steel reports a 11% decline in net profit.,negative
Sun Pharma stock hits 52-week high on strong demand.,positive
Axis Bank introduces a new product line in the domestic market.,neutral
Tech Mahindra reports robust performance with revenue of INR 4096 crore in Q1.,positive
Investors cheer as Wipro secures major contract worth INR 2471 crore.,positive
Mahindra & Mahindra reports robust performance with revenue of INR 1258 crore in Q3.,positive
Sun Pharma announces leadership changes in key divisions.,neutral
HCL Technologies misses earnings estimates with 9% drop in profit.,negative
Mahindra & Mahindra completes acquisition of Tech Solutions.,neutral
Infosys announces leadership changes in key divisions.,neutral
Bajaj Finance introduces a new product line in the domestic market.,neutral
HDFC Bank announces leadership changes in key divisions.,neutral
Investors exit HCL Technologies after disappointing Q3 guidance.,negative
Mahindra & Mahindra announces organizational restructuring.,neutral
Investors exit Wipro after disappointing Q1 guidance.,negative
Regulatory action against ICICI Bank triggers sell-off.,negative
Adani Ports reports a 7% decline in net profit.,negative
Axis Bank stock plunges 17% amid concerns over debt levels.,negative
Tech Mahindra posts losses of INR 4681 crore this quarter.,negative
Mahindra & Mahindra misses earnings estimates with 6% drop in profit.,negative
Adani Ports reports robust performance with revenue of INR 1484 crore in Q1.,positive
Market participants await Wipro quarterly results.,neutral
Reliance Industries misses earnings estimates with 13% drop in profit.,negative
ITC schedules board meeting for Q2.,neutral
Tata Motors completes successful acquisition of Tech Solutions.,positive
Tata Motors introduces a new product line in the domestic market.,neutral
JSW Steel posts losses of INR 2914 crore this quarter.,negative
TCS announces organizational restructuring.,neutral
Asian Paints completes acquisition of Energy Solutions.,neutral
Adani Ports faces regulatory investigation over irregularities.,negative
Investors cheer as JSW Steel secures major contract worth INR 4606 crore.,positive
Investors exit Infosys after disappointing Q4 guidance.,negative
Shares of Dr. Reddy's fall after weak Q1 results.,negative
ITC reports a 12% rise in quarterly revenue.,positive
Shares of HCL Technologies trade flat amid mixed market sentiment.,neutral
Hindustan Unilever stock hits 52-week high on strong demand.,positive
Axis Bank introduces a new product line in the domestic market.,neutral
Regulatory action against Infosys triggers sell-off.,negative
Infosys misses earnings estimates with 10% drop in profit.,negative
Analysts downgrade Kotak Mahindra Bank citing poor performance.,negative
Kotak Mahindra Bank announces leadership changes in key divisions.,neutral
Kotak Mahindra Bank stock hits 52-week high on strong demand.,positive
Regulatory action against Adani Ports triggers sell-off.,negative
Sun Pharma beats market expectations with 32% profit growth.,positive
Investors cheer as ICICI Bank secures major contract worth INR 1655 crore.,positive
Mahindra & Mahindra faces legal challenges impacting market confidence.,negative
